,NDX,CPRT,COST,LCID,CMCSA,KLAC,PCAR,CTAS,PAYX,LRCX,ADSK,ROST,MNST,ADBE,FISV,FAST,EA,CSCO,REGN,IDXX,VRTX,BIIB,ODFL,QCOM,SNPS,INTU,MCHP,ORLY,DLTR,ASML,ANSS,CTSH,CSGP,EBAY,BKNG,ISRG,MRVL,ILMN,ADI,AEP,CDNS,CSX,HON,MU,XEL,EXC,PEP,TXN,WBA,ALGN,SGEN,MDLZ,DXCM,TMUS,MELI,ATVI,AVGO,VRSK,FTNT,CHTR,NXPI,ENPH,FANG,PANW,WDAY,GOOG,JD,PYPL,KHC,TEAM,BKR,ZS,PDD,MRNA,CRWD,DDOG,KDP,RIVN,GFS,CEG,ABNB,AZN,WBD,ADP,MAR
NDX,1.0,0.781569590038818,0.6499239417344642,0.4177424591642737,0.4703373685558012,0.7380287473815195,0.4029656449358678,0.5860513796048228,0.5797548329293895,0.8003591258977051,0.7778154999094691,0.47652236343503135,0.41344047284102775,0.7961555124756834,0.5078300542220434,0.6465321351691151,0.2110329677011193,0.4133073365734316,0.024724013440140743,0.752391839257333,0.2628526718981104,0.41841854322932825,0.6922509713278578,0.7859551623634372,0.7815667652013307,0.778914243094995,0.778512959128168,0.24359428337753247,0.5395733670495199,0.8005832262961542,0.7757392756758305,0.621417226371991,0.6669797733790083,0.605966960365071,0.627542784306328,0.6965887102032348,0.6817865047810517,0.5048760351480728,0.7067589526268436,0.37586525767236645,0.7777838729598813,0.47672921568072757,0.22867581909575424,0.6907904550349153,0.3036955778726934,0.40164116669327077,0.24106955583228043,0.7156463162803169,0.5492760702286072,0.73180791932241,-0.02942526407699336,0.35398663084849397,0.38255824211865,0.28224053770146273,0.6621881662818279,0.11616146691435378,0.814764306272022,0.5748770398394574,0.6454985951349548,0.6670304640085182,0.7427932111488059,0.519831656140894,0.4040630314205089,0.5480274523936549,0.8131124390935291,0.7617326900975739,0.4764834806398948,0.7213199269093917,0.22736427781071258,0.6753227466491316,0.5491722266106988,0.6104412624897708,0.4853794222290625,0.4681955103226029,0.7132427299724583,0.7646619780930497,0.21266942120945753,0.6371015362929009,0.7384351810148666,0.425512117612247,0.6555329501558034,0.01776569564707716,0.7068467451838789,0.4360890723744637,0.7042832424663763
CPRT,0.7815695900388181,1.0,0.5767641884503495,0.440829330601889,0.3336186527385521,0.6520433911059544,0.562024341930375,0.5687523448092515,0.5735502721182101,0.6710987164553166,0.6193473811884274,0.4640373335037077,0.401422244690339,0.6190227467453056,0.5155592972170023,0.5581911159565113,0.3146872663468053,0.3940717810738859,-0.07692652434260186,0.5993855856338925,0.17320936830336955,0.3386549434639406,0.6345852728706135,0.6937074383183082,0.69919591983541,0.6576523003430684,0.6466210229377827,0.3770916083950522,0.6344472206057523,0.7333244420959592,0.6400999772690179,0.5663907695520358,0.5729490870085665,0.7001414487821198,0.5274608358917751,0.5485126650294747,0.6009317313578808,0.3522175290448621,0.5590310076689327,0.271639655971304,0.7148676568484741,0.48697046407859773,0.16996958703871765,0.5399398936827184,0.2217931465359032,0.30134098640389706,0.2290294064030581,0.5328709450531804,0.46332266889910184,0.6629724283085452,-0.01790879372433416,0.32193101851055866,0.39208213217709686,0.3667640416647392,0.6226245579951366,0.18974919999543002,0.6972664275381056,0.5470898378330529,0.49414312101949515,0.567996198184849,0.6775121731068667,0.4003073475592025,0.40573109249938627,0.6079635229650923,0.6507703009164477,0.49910556251562765,0.371773353967371,0.6081438586299676,0.18027665692188577,0.5720577950095443,0.5555495223517015,0.5529406792728006,0.30639192939264853,0.3377829741311806,0.5915197638672841,0.665556323212052,0.23683098979363434,0.5933724232716885,0.6079796334810367,0.2908116305607184,0.5122461017671415,0.05716729744362802,0.622430748050238,0.36280331499201945,0.6249501096867707
COST,0.6499239417344642,0.5767641884503495,1.0,0.2951463375327802,0.3397074223882558,0.5418414866658198,0.46776439134483666,0.42710070697781327,0.4901413632737601,0.6093009163296523,0.5345668377521163,0.4073131071687108,0.4579990647744638,0.5322146424271149,0.3951916121998086,0.5107802164355987,0.16836894723720927,0.44280376658272513,0.09164035026947238,0.5225789013824117,0.2351154667045865,0.262426143149963,0.5181211678827172,0.5300680340117042,0.5883650854288653,0.5979903848628678,0.5584226624180065,0.32436108735067687,0.4063848025774422,0.5232741110011023,0.44294618707434363,0.5275235236303835,0.5062814436626858,0.4792101079119257,0.3548924470331672,0.5210172542569563,0.475301146029326,0.28541793624501083,0.4563921468894715,0.4029503009963809,0.5958531567814754,0.3712333084145062,0.13515176377408974,0.40825524214043096,0.3679331493013862,0.38782403980713964,0.23460409928778167,0.5673497669289782,0.37556424135023164,0.5449023774804322,-0.0847560931373922,0.34631488797604837,0.3335071591226503,0.3417200698764894,0.44854188748091917,0.11534981064519521,0.5172552413847151,0.43234608862812257,0.36028841028063907,0.4283196936473955,0.48748874738020304,0.37570065397005226,0.19445032379819374,0.38412411020893505,0.5352102918177258,0.5169280029714166,0.3212332855214182,0.6086059751575249,0.24288080026210312,0.4891197827734306,0.3490819713140243,0.5038424798076158,0.2519710596255719,0.26606319151911356,0.4735142112543511,0.47785681922536194,0.371838118600664,0.3587312319445117,0.5637716440108275,0.3536015327982266,0.40890879686154474,-0.06671860726139152,0.40486268470538084,0.40760204595977767,0.451190411039479
LCID,0.41774245916427377,0.440829330601889,0.2951463375327802,0.9999999999999998,0.05768174593692536,0.20206298705499115,0.2335610362528305,0.14103994151545493,0.2041786194340486,0.2374589324908812,0.2992140298889257,0.12452775056940898,0.06136308479724438,0.30341745267363907,0.20250730669274686,0.30944200124460347,0.13643716936375136,0.24818379437851357,0.05193295353780814,0.3533659849169036,0.10220179508703232,0.024964386297702135,0.4446354379048181,0.38230575203718564,0.27090013993224527,0.3125226146594637,0.34392401857462523,-0.04760144557837967,0.38981108512648305,0.2280261954823178,0.15251174615302657,0.2738679731875971,0.2435767172743508,0.4000421532234475,0.3161530814605252,0.2629232157757436,0.3012655723730127,0.2786075936700486,0.33221498346655837,0.14124880330270392,0.30129397398631924,0.14031021591591097,0.1366471206611196,0.34312351196343016,0.05076372604534596,0.18891045967513845,0.040400874338000776,0.30302578309374023,0.32061912205236465,0.35487350076716534,0.0632338338317143,0.17487742037873205,0.127977115890958,0.016622465145090522,0.3249280038034006,0.18067576371509336,0.2651472337370573,0.2843998275262033,0.26974415782054845,0.18476498042842734,0.3581500534411518,0.25662346752782905,0.12209229339615928,0.17779610838167081,0.21145501809480508,0.2743042581252508,0.07296565764680221,0.28510914326062015,0.10763619269529737,0.28197103680173957,0.14263862099784624,0.3183739447772908,0.08685844140492778,0.23233918898338005,0.19615854659067827,0.3280340614964219,-0.06396233278627814,0.6799173339947661,0.20424061582851918,0.2132098985831352,0.527724919055378,0.1658273826051558,0.2743601269632509,0.034206284162885355,0.2079877224383253
CMCSA,0.47033736855580116,0.3336186527385521,0.3397074223882558,0.05768174593692536,0.9999999999999998,0.26910620065895724,0.3978403814210702,0.4215219363108923,0.5248501518184883,0.3709947097236704,0.45433386552450766,0.38955088842991903,0.23012592932391804,0.48703947053776897,0.17880223207735194,0.5800780440857238,0.18364154708550395,0.4932755537644394,-0.09692616363016478,0.5780341645911059,0.1578112338725342,0.32027507962872387,0.30766048520257455,0.363227117250113,0.28226926071422725,0.34883924505331537,0.3779054939975211,0.3418417222903286,0.4826048042958474,0.41067645727964547,0.4092729347973517,0.33627147923110745,0.6175374478532214,0.3589118723875004,0.3535799283183658,0.45454103375442656,0.3407422886111171,0.5250406480755586,0.3757650885317649,0.4100349055559706,0.29628926549984946,0.5119906919197263,0.4550526099928017,0.3266613054557117,0.418774482106805,0.44173745441704654,0.22148167291933654,0.3896090772293397,0.6304202117886047,0.4599486961707101,0.18151886605472448,0.43451004734030346,0.1341864426961998,0.30920904559122736,0.24459534809271027,0.11486201656276801,0.4478094448004686,0.5184147271498041,0.18203044866726123,0.6865124012160105,0.3919773500858728,0.08290311459300444,0.24436707798570256,0.14784594793095182,0.38236475605109443,0.36986498363620074,0.4338909140511915,0.42894794822279514,0.28976470174641555,0.1614220367273903,0.3327849468971958,0.24016708258069328,0.3819316104464408,0.26973244054946155,0.27848504253806255,0.4090944629804276,0.25788094585746335,0.26458870703388004,0.4917805538055619,0.40706118401660807,0.4065743219912276,-0.11422795132314435,0.4155282043637828,0.5317220572703774,0.4953459342064219
KLAC,0.7380287473815195,0.6520433911059544,0.5418414866658198,0.20206298705499115,0.26910620065895724,1.0,0.45859873448825145,0.46930284130097694,0.5546595555580307,0.8509041342876725,0.5298073966892967,0.4213477472415176,0.394265935281742,0.4487000628200672,0.4324548660909783,0.5706546523219159,0.09204505991309199,0.3568548465048091,0.002662288315393967,0.6022948834293652,0.11427219464307069,0.2862922635123291,0.5723001088950774,0.6705162075510901,0.7024335048483947,0.586696176047846,0.8252860527567109,0.29714529191699207,0.39381780043040165,0.8190576713235019,0.6306647415820814,0.5177903894069523,0.407982473296267,0.4948358852322498,0.4558445722326264,0.4529143313159817,0.7022049785558125,0.26220586568833476,0.7033345739456174,0.16872153999989303,0.7045078174933543,0.43300707644526554,0.13196526845584092,0.5984326971314126,0.10451219739078865,0.283155841432392,0.09296835693505066,0.7576990707723164,0.2930758348007555,0.538763468934946,-0.13570342168781427,0.13471598365731363,0.24503263423661692,0.1234621617177278,0.4642499928524538,0.11755265800607079,0.7545787263108468,0.36483022727358716,0.5361114427715601,0.45649138501864195,0.7744416679850727,0.3932252421023494,0.41084033990045843,0.3811103280927163,0.6648705537602159,0.4483999649027556,0.35995884062085703,0.4670704769108283,0.04341053930544436,0.4716663411849221,0.4475017014153123,0.4310239007313969,0.3267484675992748,0.2370746820002999,0.49567938583844995,0.49617437554961275,0.16719202311899972,0.4788607421121458,0.7232477822463838,0.3631283115497426,0.49793742155077636,-0.06164294150996104,0.5984959907472176,0.34475006812609094,0.5183047680105944
PCAR,0.4029656449358678,0.5620243419303751,0.46776439134483666,0.2335610362528305,0.39784038142107014,0.45859873448825145,1.0,0.49711724339145774,0.41123506605184074,0.3816933979091137,0.368914345196744,0.44951885512161877,0.4971502273681435,0.27524402710994783,0.3636105774996133,0.534107701154382,0.1193649989140706,0.459861406779106,0.009130379191930547,0.44456522189829845,0.12595896020195854,0.2643470916565279,0.4292110430282693,0.36975631975039946,0.35894246019922765,0.21970899535496596,0.5061834198970315,0.4406674664349258,0.3462530956871772,0.35165440719056384,0.26085629649256825,0.37443376710805204,0.4890889515294306,0.3652841287684846,0.24691293379869084,0.13909786196437543,0.39461735848363266,0.22361483829495588,0.4010767701873236,0.23153000418694425,0.35260075855748135,0.38483227911792695,0.3832411267944128,0.34210103098819783,0.1760469748987824,0.20991214094108868,0.11906831011293997,0.4676927290773717,0.3211421596723975,0.408512680820176,-0.008795550126429274,0.24873694128497514,0.22072186475740466,0.2882450187454196,0.35739904022806024,0.20362959293211308,0.553283147673332,0.37254259139855844,0.28517490957683483,0.36908890310854314,0.5191127027544988,0.20963369575871219,0.3786224808519299,0.199783405532706,0.28645867402083314,0.15037622486815122,0.2801287874937278,0.39174046947957664,0.11757332330086062,0.2606251245747897,0.46207551060171803,0.3288099120085099,0.2211832766227499,0.24535932134070895,0.2895506307655173,0.30816640263815354,0.26984143904995056,0.3256317995510114,0.4801333194824759,0.38177819392025203,0.3411093497032854,-0.17165300287761923,0.37285343188241166,0.35143561030196924,0.4781909417955361
CTAS,0.5860513796048229,0.5687523448092515,0.42710070697781327,0.1410399415154549,0.42152193631089224,0.4693028413009769,0.4971172433914578,1.0,0.6775053912752388,0.5069080020928394,0.4753828647209645,0.45096548355819427,0.4223955186252693,0.41297036396405096,0.45418667509890837,0.5678243645747373,0.10992135299341406,0.4954877912560225,0.03753250580616843,0.6316194245354949,0.3633001086413753,0.45628508923669364,0.4883170358289199,0.5167976273402085,0.47822163978631677,0.4914162369169483,0.5915959592648737,0.37655515886670543,0.45243713243986367,0.5635976748229428,0.5256929390124231,0.4236299017501908,0.6379787132203222,0.4284544674618044,0.3689348388049663,0.5183243545344491,0.4236385610586811,0.40203143891232673,0.43779516186201234,0.4919022954921573,0.4509096280755259,0.5834269121996839,0.5129618980719465,0.40517287593643314,0.4528977021625195,0.4627765754097531,0.44366016411257053,0.5057883290477914,0.5322880161723735,0.3044813483508083,0.0660132390543241,0.565922448825466,0.24877272837304118,0.4938945453754404,0.3378908326988307,0.16666228687030474,0.5978632177012196,0.7022005800096779,0.4307292726106668,0.3828902824809416,0.5634559957437056,0.4070328774224632,0.34919614057873016,0.17129721901896725,0.48483496273585514,0.2158558607349115,0.3225034977006852,0.4555990576202497,0.3425310122156043,0.2760036278018664,0.5235016298779864,0.24434412120129148,0.35796250261821383,0.3831517111151926,0.25249125537031447,0.40828116101390544,0.41266680753941404,0.3299209530591823,0.5616413352244575,0.472700744517164,0.2867578469694307,0.12057648879059936,0.44842827423219545,0.5694902424914974,0.5625776713013134
PAYX,0.5797548329293895,0.5735502721182101,0.4901413632737601,0.2041786194340486,0.5248501518184884,0.5546595555580307,0.41123506605184074,0.6775053912752388,0.9999999999999998,0.633918948679925,0.5070937950372061,0.46615600953920805,0.3545713323890538,0.5009620794247385,0.414838948062646,0.60040620920374,0.24477694845906764,0.5164898397494648,-0.13436946099017,0.6502340112209695,0.15536288779395407,0.4060033968347128,0.5087354742218277,0.5952871446083964,0.40946135561499564,0.5858061470133428,0.5963261041969072,0.34663777142163676,0.4434336097866233,0.6288739193177514,0.49616931854325735,0.46742025996732284,0.632520127467882,0.569383957290637,0.38029384558233326,0.6273031033211248,0.5159758808532249,0.41860612075764997,0.46313495941458144,0.4045519256705043,0.4405352784787767,0.6571438742730988,0.3830511055591299,0.5180742971183829,0.3328793772487053,0.44984940252429695,0.29234827509301353,0.607230931833085,0.5546883675100985,0.45778156896657696,0.004889674967599285,0.4345552781831731,0.28374286788569153,0.28555116716591694,0.3340299741052722,0.17933118177211624,0.5099338082576064,0.6250329125154934,0.3618873837983655,0.531912483160694,0.5980882377742043,0.457161072454315,0.30578833747834805,0.2551037925526415,0.6197792148662489,0.31057293583074586,0.3582414534632823,0.5532852371277596,0.34019979502399145,0.3011470787056254,0.43054827726740436,0.3402713331988859,0.2668454762999908,0.2411392732061982,0.2924937700048938,0.3823292909561063,0.30000680724380874,0.4078345607642111,0.5580487243300601,0.33773266645461786,0.3530450711359411,-0.022079280812004578,0.464365067373562,0.7554225929434807,0.5345464294926723
LRCX,0.8003591258977051,0.6710987164553167,0.6093009163296523,0.2374589324908812,0.37099470972367043,0.8509041342876725,0.3816933979091137,0.5069080020928393,0.633918948679925,0.9999999999999999,0.6492480543665865,0.3300172622335175,0.3201396194277359,0.5513769556284234,0.4507359400953415,0.5705002182885376,0.06149412892776265,0.34332860645655383,-0.06805348967673902,0.5919896897968928,0.1794114107111944,0.321507802647672,0.6409830156455838,0.7394944460274834,0.7107275975764802,0.6585102093325222,0.8377074079491544,0.2067184435534379,0.4024436022108949,0.8640631218828637,0.7021172481427678,0.5346611438704795,0.5226993572611739,0.49914624780420086,0.4263614413964445,0.5974232779652004,0.7295707497122466,0.24913249664032933,0.7208206504866745,0.23732349630245722,0.6832130476516394,0.43705835502774176,0.07788067028174919,0.6704443420286624,0.17478779001986627,0.28865169099502946,0.01415499170926753,0.7847419641162251,0.2975062742782508,0.6198441546936507,-0.07920978821457375,0.1434218548965553,0.29320678617882423,0.16897133991744237,0.5410069821752913,0.1166575507558407,0.7817867973294595,0.47163885576666054,0.46399782422821745,0.49670818630619606,0.8332203515781149,0.4559917312874723,0.29005485579746954,0.43163805546653333,0.747806027532039,0.5526855355712964,0.4735116119672078,0.5493142962647144,0.06993945054071112,0.5168140955548589,0.43147469683291145,0.5327513815907432,0.45970346942069135,0.22372674869387935,0.5501638325821979,0.5657376658305099,0.13780187537407473,0.49510449815799584,0.7819491951796103,0.3555585016342126,0.5090633852137412,-0.1804294949958759,0.6029114769212357,0.4563185949445391,0.5230149051091508
