,NDX,CPRT,COST,LCID,CMCSA,KLAC,PCAR,CTAS,PAYX,LRCX,ADSK,ROST,MNST,ADBE,FISV,FAST,EA,CSCO,REGN,IDXX,VRTX,BIIB,ODFL,QCOM,SNPS,INTU,MCHP,ORLY,DLTR,ASML,ANSS,CTSH,CSGP,EBAY,BKNG,ISRG,MRVL,ILMN,ADI,AEP,CDNS,CSX,HON,MU,XEL,EXC,PEP,TXN,WBA,ALGN,SGEN,MDLZ,DXCM,TMUS,MELI,ATVI,AVGO,VRSK,FTNT,CHTR,NXPI,ENPH,FANG,PANW,WDAY,GOOG,JD,PYPL,KHC,TEAM,BKR,ZS,PDD,MRNA,CRWD,DDOG,KDP,RIVN,GFS,CEG,ABNB,AZN,WBD,ADP,MAR
NDX,1.0,0.29654827324712624,0.28470827319843295,0.3315893549447921,0.6628029690356121,0.6487592045557657,0.4512384669420361,0.24580873005743825,0.2685623811356956,0.34710273961169263,0.004432866255304803,0.25586203577951855,0.3084261379093489,0.35717564774115496,0.44409280384315264,0.4691143881546472,0.3940011280274327,0.37103141816159607,0.2592205743279191,0.5986955569816147,0.3446540435847878,0.4251387808771072,0.6011328181509855,0.6370536599346871,0.21790137251923905,0.29223387208840607,0.5080176049785915,0.33333738173670446,0.3105491862820808,0.40491894091636815,0.20108529017366375,0.5661869756356714,0.025588009627931754,0.29453111718938174,0.4920569510866439,0.26596584797682743,0.37344261602541606,0.22095330187709866,0.27222187990958807,0.3600535356875802,0.3377413937260088,0.27226194207358917,0.6265124989949419,-0.08878053692950702,0.5696842265241463,0.3687758989804787,0.6253590929244583,0.7438060248229189,0.342061234326808,0.5658023158738458,0.0396400106620421,0.5509266200090898,0.18803516189324207,0.5084314630283071,0.3322039813065754,-0.023863139090566362,0.5772028289184867,0.3447806514520114,0.3527921315238128,0.5944756336408636,0.4203847035373633,0.3028520798441025,0.3156901852233053,0.09059069523376972,0.1348568325064941,0.4076597232227123,-0.10366764437478732,0.347854223169213,0.3010415503454108,0.4432215973827244,0.398743321286985,0.12038579280350702,0.007720362993039707,0.1985606282906952,0.20536415293529556,0.36314580129020396,0.012227829503063918,0.32397111406308526,0.1486282147068185,0.26410934424970184,-0.027377333571683295,0.46674900222317983,0.2902318425592855,0.6214388304040337,0.1790821553197344
CPRT,0.29654827324712624,0.9999999999999998,0.21290647777971528,-0.1030285378325058,0.4492250018597189,0.24259038037188366,0.04514919579498986,0.3129384927381758,0.3543515591665759,0.16485547202275805,0.4655547993611098,0.31098614103349664,0.278646836565751,0.49789406857859825,0.5099354618996466,0.18486881188518617,0.18285495696685378,0.2141957056505019,0.19021908007887658,0.1122846595093585,-0.008153888931578668,0.22170375993317185,0.20024399289150452,0.3396385608943775,0.3478807014230627,0.6037980885259071,0.3116641047778274,-0.14472483589080667,0.2774998105892737,0.11074733283295468,0.5357270620221329,0.15251020492105585,0.35453014695182705,0.5064246916424505,0.3701040184536933,0.12878539702619077,0.2805592625833635,0.2075887986903012,0.2823524580488975,0.48465941007243163,0.2744764325745996,0.15064539340725377,0.42309348609099473,0.08691593278637413,0.5119234648116195,0.37339512267797076,0.2735120065937845,0.3959879041201436,0.33100863763935007,0.1464304808695247,0.23785237208339657,0.41008274360549024,0.04629626428596616,0.5116967775201057,0.2870046847082139,-0.170981297351065,0.42605373253122925,0.26147749872392095,-0.05510317999919325,0.3198343724664101,0.15044631096965771,-0.1503319054231368,0.3387049809303138,0.28888718485265735,0.18127159313674446,0.09503191901627031,0.28255844629973703,0.06037998763061559,0.18870994441477007,0.15607373130897859,0.3206419061026753,-0.04227321893085219,0.24341520385317808,0.23457907704502423,0.05408514288666908,-0.045593787970235736,0.2769393126379459,0.062086020364021,-0.14999580286831316,0.43267046737973525,-0.21080582461568081,0.10257714669280812,0.21783846148179756,0.32866401481827084,-0.005102926152598174
COST,0.28470827319843295,0.21290647777971528,0.9999999999999999,0.009290454550625101,0.3593920525212577,0.16159332745985636,0.242644011804865,0.09399160909689809,0.27512162484050434,0.14064573284641244,0.08111333700604068,0.09718107616058497,0.34603287520666487,0.2234336205829943,0.15524944756704281,0.3263857681281979,0.039012922274428895,0.12121724055243169,0.09753855367470529,0.11741637172492822,0.07232903985486164,0.22683358900684245,0.22584977223005723,0.27616165718824337,0.05922419494973431,0.20518172325168146,0.13883244253505755,-0.03541106704667441,0.16132211329722176,0.11709725825605387,0.24154071780821174,0.07949614499863047,-0.07041692756153431,0.10492639710608913,0.4097316541786502,-0.05790344148119612,0.6396585732938882,0.17474071365104757,0.04749408109683474,0.27165453235453735,0.18228753861199878,0.13823351606421724,0.36303631116906954,0.09995710531811171,0.31333480916846795,0.2948656963542697,0.1194094987147907,0.287709835839072,0.22802351520740627,0.22974601674159564,-0.009388021571021673,0.2439799702038881,0.1407577320329637,0.2253448038215318,0.12941014468274203,0.10834217406913266,0.5852788829415261,0.27774990615490686,0.011404191963312781,0.26394921508409097,0.0314479955967266,0.025543669681740225,0.25084925520561396,-0.06569434018899116,0.22619928511837117,0.17146165822241857,-0.08117369108737255,0.021154633814014136,0.06630010060947726,0.1021761877883871,0.09271969831527796,0.6883830808245275,-0.03398627339303879,0.09420137656595275,0.06082438433021186,-0.0816656621439435,0.12897518406127184,0.2640558143915596,-0.1365058737557056,0.07777464839640051,-0.024292367775852235,0.04210401303934391,0.04920648321577527,0.35619321758683364,-0.09718797939645661
LCID,0.3315893549447921,-0.10302853783250579,0.009290454550625103,1.0,0.11901157675334773,0.5055906410261972,0.1553484943755606,-0.07501955880757087,0.06701001405047191,0.2927599583564947,-0.007025800553660029,-0.06915095477728016,-0.072725468450832,-0.015290781413715461,-0.07286373097786983,0.018411811840702844,0.11792184330891936,-0.05173135128863769,-0.05398561268030475,0.16475851066111338,0.25058789614698546,0.03518911719446723,0.29644963979851086,0.21243301380471363,-0.09623296617815068,0.08076033169862112,0.15461035698275966,0.3523815408315512,-0.039064561730128206,0.2761380831162271,-0.005675517217148014,0.1417766120997604,0.12137856245499816,0.06893460095162046,0.054272627671936344,0.035811258960511065,-0.069195541471204,-0.09861227816513861,-0.04661980226091551,-0.10935762714014335,-0.1954361395724607,0.14537344544988998,0.013793869286827526,-0.02261860955152296,0.04924441410926702,-0.12626883883049192,0.17909885912367973,0.2584084792590542,-0.060166884380393054,0.2954026183919474,-0.13058309444854108,0.12292296199425795,-0.017683873382069715,-0.02956170574875682,0.3606661816410456,-0.1385580902697108,0.0011091706322998744,0.005146859346915836,0.1370087756774846,0.4603312563488117,0.33333374574017316,0.036617549698918124,-0.08543605874731025,0.11390241005983741,-0.09970100656128839,0.030030261175855427,-0.1605581267344608,0.021635151692963848,0.000689216749375315,0.17440354429069824,-0.0704484258451985,-0.019323363492226346,-0.10209596067739228,0.1518018588072005,0.017871460946364926,0.07759401496019208,-0.1994596245283354,0.26936973000809655,0.01629840852388083,0.015307271186800702,0.06116156470408868,0.05835009081597348,0.17931825558126413,0.39779746498122315,-0.07187906225884579
CMCSA,0.6628029690356121,0.4492250018597189,0.35939205252125767,0.11901157675334771,0.9999999999999999,0.6703380796279252,0.43219982881481445,0.20508207584953134,0.49643149649639606,0.23293440030831286,0.1314758686779236,0.13745719483433397,0.39157807989025767,0.3875825822857798,0.4355898470895427,0.4530472307543099,0.0532483464405855,0.5298781889721854,0.209813951258201,0.2935001167307319,0.31606465406333584,0.49953429061044763,0.21137281467574706,0.4595213558720785,0.4216140645535996,0.40495318938598435,0.4122120130728892,0.19690758446174905,0.4286910604228432,0.2628686093987139,0.2924708613591059,0.3267001701341178,0.11816424719403637,0.43303041197557496,0.5323342187603571,0.38824851578098796,0.17692944579604808,0.12911002571339106,0.3157476754182295,0.5887918597410684,0.4927127070293565,0.3272222192178967,0.461669831316436,-0.008994925420581636,0.6252169357578514,0.5376451742922976,0.5189808524422034,0.6505736230924662,0.49657178085864423,0.12452953878488203,0.13623751320522165,0.5178089510314536,-0.014022179321816677,0.4412173963201556,0.1694350053746172,0.0451883724103634,0.6393315640189803,0.17978137121279328,0.22306354923737803,0.5792983674634333,0.33348404628687905,0.35568423998280335,0.3844028921092358,0.057702515746740825,0.12815290230342025,0.4433855326504973,-0.16587148493480225,0.32851593511835386,0.3176421649458252,0.3625325017088308,0.3995926371750896,-0.037864764741851825,0.010175382378354214,0.14528537422555218,0.0632483032581748,0.14826834381092802,0.2622200192196911,0.13697653317281638,0.1067639180027178,0.23841797847539586,0.011509679821768799,0.33294765813911825,0.374548895576002,0.7444728534034526,0.29333702667925304
KLAC,0.6487592045557657,0.24259038037188363,0.16159332745985636,0.5055906410261972,0.6703380796279252,1.0,0.22749780854415352,0.27787112380379647,0.4655908201251123,0.5152166381415016,-0.06548910689230691,0.004473814909403722,0.20221502240351613,0.23699398218580914,0.32677835205953476,0.32198432814112266,0.25949476696526325,0.44732170886967193,0.1708555642160797,0.3940763157469036,0.3871999429074945,0.3609897762402543,0.47142291838777,0.4090039502518745,0.3129409970988306,0.24965675600610782,0.4339338907112339,0.4163147352301374,0.18133438277292807,0.4221391061369315,0.12779904113336868,0.2886886250820878,0.11743864760463271,0.32889337798697454,0.4325362412600715,0.2750295027551432,0.08331306650228797,0.06279289602174593,0.3538415478388151,0.3854335291298316,0.3861564905402512,0.29874763229182083,0.402608027037102,0.1594838957196476,0.5207875104175449,0.35128094686767325,0.4957688149258713,0.6715957408117456,0.3997353112299602,0.28860494867601,-0.0025301923307032995,0.5550075966205992,0.02299043160868391,0.33188342092948614,0.3032494445434702,0.05193721827170271,0.5876566442806275,0.11527637373294505,0.2983702247101483,0.6015344477470037,0.4984728470425166,0.2848020167415003,0.2606359149255826,0.01551657597516794,-0.0005566793142770972,0.3472577965749669,-0.1242639739230259,0.32157571518446854,0.2964549303235944,0.24072087848909093,0.3306268762841476,-0.07977628066765198,0.09615501226651503,0.15489979876741203,0.034211403456650455,0.2559249974917105,0.1039265523145404,0.08929159771419155,0.21041343997118336,0.2858194368498405,0.06780141701579967,0.21689218843694816,0.3002026597413471,0.7672364472304899,0.2708074477780372
PCAR,0.4512384669420361,0.04514919579498986,0.24264401180486497,0.1553484943755606,0.43219982881481445,0.22749780854415355,1.0,-0.017262322298142615,0.0639400813697284,0.08579953747508136,-0.08868035076673993,0.027582205175564995,0.2914797650355808,0.13215116135220528,0.08926238820986665,0.2708521850677797,0.0015591207068163461,0.052197932957187436,-0.04070315302357258,0.11543410685572246,0.14704329272016295,0.29138462823614564,0.09819260115703363,0.2790902083620159,-0.13680288952019812,0.054935284466909755,0.04663424543608943,0.1251562972813745,0.315268052984502,0.3458391070787455,-0.01771892352423801,0.08903376127952979,-0.11126264165618008,0.10712484618294632,0.20236031426309184,0.3624512456957778,0.1501677795624261,0.023312744962928577,-0.11472543194300805,0.13593146836839395,0.04123832453137931,0.07705225863211762,0.19498135819085163,-0.14382532648663282,0.20681344809580243,0.08415446159483331,0.26601291848746544,0.3279681209657402,0.16997401968296685,0.185826014607113,-0.02884888535626335,0.1415656333676984,0.09636171963731914,0.13536120682797406,0.18081118151516665,-0.011708340635967538,0.2239723964560627,0.14720383218385716,0.1055983589076867,0.3757684318155631,0.11170539093250081,0.2900883946758648,0.056352003774019686,0.011372325734517312,0.02688320667148169,0.14972629441767107,-0.29139837463873197,0.07176306264390321,0.08281261924771215,0.1470860253274152,0.2037337962533201,0.12530810552475605,-0.13045352377151995,-0.01090222767082823,0.06482453654094301,-0.011059693227942197,0.05558352177042561,0.16374190124040783,-0.01246168129013019,-0.017176908961960693,-0.1208851891627323,0.511380956945203,0.009586392923414969,0.3062513766264328,0.14851710325195164
CTAS,0.24580873005743825,0.3129384927381758,0.0939916090968981,-0.07501955880757086,0.20508207584953134,0.27787112380379647,-0.01726232229814262,1.0,0.6147448885315969,0.37134161416734024,0.0584645450473671,0.4192089658572064,0.2635759492175058,0.11169341714826743,0.18790125465569738,0.25903184644969973,0.19149452949761944,0.25444172129017506,0.14283954050721542,0.15142188477544297,0.2182147652059901,0.1737968943110756,0.20186539404766052,0.2653739995443127,0.31828285015055424,0.08272864954118574,0.2594427810844794,-0.01725205631339219,0.08884500138524018,0.026117429267231183,0.11669004789048888,0.09267551387717739,-0.08032162117726827,-0.023828208625101363,0.18053886454681292,-0.008404655307489517,0.0841529007422556,0.06585311637432548,0.17608149202738893,0.373872585946925,0.22021526643505562,-0.09550943226017616,0.33061541067662337,0.5609146287168343,0.38201125142225867,0.33591171697034167,0.2816684946942162,0.3581514504304957,0.49043190377183776,0.1158879670779311,0.010490405867612303,0.38087025317846973,-0.11025229915252638,0.24713640348641475,0.007349819900565458,0.0037576890013601007,0.3992055202807416,0.18410782520492341,0.08206363265035012,0.11828165207608599,0.30002657048911796,0.06483291876740443,0.04781267281286826,-0.19282205461160315,0.3397873951185152,0.15634168598006695,0.13034317218926364,0.114865838092003,0.26871102711561645,0.1698276415401123,0.5746484930898901,-0.09016737776300181,0.21235717630391557,0.11799877496392283,-0.2445341708655007,-0.1432404757069127,0.2980279986197095,-0.07530930189127655,0.024332424341080326,0.3362398521850194,-0.2278263390794108,0.15816580089253326,-0.057245318012756105,0.2166329065109399,0.15719999673695928
PAYX,0.2685623811356956,0.3543515591665759,0.27512162484050434,0.06701001405047191,0.496431496496396,0.4655908201251123,0.0639400813697284,0.6147448885315969,0.9999999999999999,0.30730638393094983,0.1080047891167584,0.26586039493188673,0.37370528546278603,0.20093631895094258,0.22898831161303612,0.2579867975045842,-0.056639030760990805,0.3412696891808112,0.0397656561040266,0.05727669334448741,0.12163973564610353,0.13853836502877295,0.05017487421463005,0.1887846874480596,0.24136303608287057,0.19104760561272785,0.15451509615551176,-0.0455207881032665,0.30004643606221415,-0.05548405896743784,0.19828840757003927,0.03917263126903255,-0.021617704658549095,0.20523961867025217,0.31661070927281504,0.13357815207782972,0.03953906221966661,0.06364537588933074,0.24563153610363775,0.5404808089486309,0.3045636989238401,0.10705160477896972,0.30289741904602524,0.6123906722191587,0.5918667175279005,0.43938191654245695,0.22371321517568787,0.4854241594633082,0.5869954678359783,0.009940690292294987,-0.008771920980056589,0.45016219980724853,-0.1537400821229566,0.31855671729247503,-0.054132368467175423,0.05526169040765419,0.5328749945042773,0.080346355130081,0.10498434904091905,0.243056017662643,0.16796647268027312,0.1314016063372827,0.2862752711009339,-0.18710545768553527,0.15393963102906552,0.21232941964061205,0.08214465226181693,0.12957045698206002,0.08519936846762437,-0.002266234935885594,0.485415847700879,-0.04192356375561863,0.22245754603878606,0.03250467915228142,-0.12410515550380469,-0.08263175939024463,0.24558116313677053,0.06010997979198889,-0.10277374755893694,0.20394953302929003,-0.1695076638064194,-0.018964639276523098,0.11365376287590435,0.6567894548765044,0.008151105206460353
LRCX,0.34710273961169263,0.16485547202275802,0.1406457328464124,0.2927599583564947,0.23293440030831283,0.5152166381415015,0.08579953747508136,0.3713416141673402,0.30730638393094983,1.0,-0.08442583025374517,0.03142911982773681,-0.05094620886730723,0.10176230359791068,-0.11737770190166529,0.09562571474868263,0.38691167531910803,-0.03843096872008628,0.20217004001100988,0.4204975297602185,0.22821571633218893,-0.04722711051345645,0.4420794674687186,0.46650928787575163,0.038674309296964554,0.07309851808065311,0.42995406707544137,-0.06128008900546818,-0.06784825571689451,0.48319785905080537,-0.04055854348080851,0.04874522968979166,0.09245407128547525,0.0009235081380897645,0.08029454953019792,0.31977164979609646,0.2210857732743079,-0.1801767767736716,0.173175825052326,0.17308371565695624,-0.050436355223163344,0.24204119075984365,0.15315259141589282,0.37330333886581657,0.1943826567798518,-0.04436629545191334,0.002486055780343229,0.5400304931595092,0.2538978814153436,0.2946212082282923,-0.20175296490154856,0.2129589042637562,-0.008515526721202512,0.25441412861626816,0.2051426270459638,-0.09374279920160636,0.30392968882652,0.017102029057001734,0.1944482398397434,0.3495589026067539,0.6479143424110018,0.008287489999811805,-0.01023292191857044,0.005244626368220516,0.004801124797974384,0.015695700987343953,0.021591659155214934,0.0021447051029215725,0.0020327932643143865,0.060970495953598026,0.2997871678859974,0.09276393191567658,-0.010318822514035163,-0.02008298569045059,0.01415009969974692,0.1107744788336567,-0.14741615550765239,0.020710866619708168,-0.07347634181445259,0.13799469465127903,-0.16696823071475456,0.255885900766968,0.2604297431405041,0.3113419055892715,-0.1571696754966426
