,NDX,CPRT,COST,LCID,CMCSA,KLAC,PCAR,CTAS,PAYX,LRCX,ADSK,ROST,MNST,ADBE,FISV,FAST,EA,CSCO,REGN,IDXX,VRTX,BIIB,ODFL,QCOM,SNPS,INTU,MCHP,ORLY,DLTR,ASML,ANSS,CTSH,CSGP,EBAY,BKNG,ISRG,MRVL,ILMN,ADI,AEP,CDNS,CSX,HON,MU,XEL,EXC,PEP,TXN,WBA,ALGN,SGEN,MDLZ,DXCM,TMUS,MELI,ATVI,AVGO,VRSK,FTNT,CHTR,NXPI,ENPH,FANG,PANW,WDAY,GOOG,JD,PYPL,KHC,TEAM,BKR,ZS,PDD,MRNA,CRWD,DDOG,KDP,RIVN,GFS,CEG,ABNB,AZN,WBD,ADP,MAR
NDX,0.9999999999999998,0.7710841263539376,0.6823234577676387,0.4522589601775513,0.6009197681449651,0.7814766100653631,0.5172749522215158,0.7112580889490916,0.691694761404552,0.7691929454202269,0.781039049811225,0.47518913895915366,0.5372130873533996,0.7886857774859329,0.5691221476640622,0.7049296958555694,0.2991930018044814,0.5396810159073303,0.28379388378977094,0.7034448676213086,0.3878099084644092,0.48123489890883603,0.7259696158453638,0.8536448328384839,0.8205987692195438,0.829565762180541,0.8134034983099289,0.3873487672277368,0.5196065337271456,0.8296230822168559,0.8257625270451731,0.6686937981236374,0.6051101105587078,0.6654431388725903,0.6561064409270388,0.5825394869190775,0.755557220743211,0.5684427133378318,0.8023455431873718,0.35836001838406745,0.8120965192367217,0.6096441623015872,0.4452024959312391,0.7469247035976481,0.37721750490504213,0.5006183710143801,0.4450091112086525,0.7719477244431183,0.5614612825707318,0.6783553348582437,0.2094342034751024,0.39400456665822503,0.3880178684447384,0.3443620210032009,0.6935828553557024,0.23412458482081783,0.8206735858557009,0.6393376444853852,0.711209294910871,0.6096231761336067,0.8057652373513801,0.5119979704143003,0.3598384515072243,0.6418818007438154,0.7300296141496492,0.8263320188932051,0.3717775309247032,0.7081162249320606,0.21309404483307942,0.6202316256354768,0.35199700980262627,0.7119946667357803,0.364618731821034,0.4835909581523527,0.6531383148620894,0.7065309674131524,0.42311350752165416,0.6327147941760793,0.7684804265229331,0.44206830034061545,0.7179764232608776,0.23699439882197523,0.5862246687254948,0.6224811404969172,0.7718920665794542
CPRT,0.7710841263539375,0.9999999999999998,0.5661901121491979,0.42702763992432613,0.5850757830827785,0.6712755159059531,0.5756438826608401,0.6078591696867301,0.6566349308146924,0.6201186840273082,0.6202570113913446,0.6414293577022089,0.5297235782340661,0.5995632359239101,0.5370927746134483,0.6644995638391559,0.3788711739603009,0.4891078751095966,0.1615966818124734,0.5461535485026509,0.31578550973221775,0.42927902601041995,0.6455434749169782,0.686195091297719,0.6309414416199222,0.6184469888709521,0.6836902244163426,0.3501556285876534,0.451241524794376,0.6964315481631609,0.5904050126719173,0.5976240733491957,0.5785029366499058,0.6391999933345355,0.5675740298152785,0.5048532697302305,0.6730311232985556,0.44287156874269296,0.6453764655115581,0.3350666305952418,0.6243299169116968,0.576676108467169,0.39215377387911754,0.6093289806997767,0.3378700800055492,0.44659286945938603,0.43379346978622596,0.5963208478978248,0.5545970550374477,0.5825254318909856,0.1369640430002348,0.3711536332861597,0.37834148986168004,0.4482104693518537,0.6113420518687159,0.2631634598223497,0.6616862025209821,0.5458501969186736,0.556981493294712,0.6051031612401238,0.7064081612744282,0.42087406073447337,0.3143079388079036,0.6308625458710926,0.5824867377325671,0.5736547629190545,0.42626030269489,0.5821799931862802,0.26349253937736,0.43299906335390603,0.28442760479880114,0.6208552118315974,0.3145169944561062,0.3155309094523545,0.5318426766706308,0.5374287226529497,0.432745238380464,0.5585479348122083,0.6054913678359362,0.3685808995489995,0.546617719070133,0.30978541605364623,0.4831825770016054,0.5932636008518669,0.6796162594115273
COST,0.6823234577676387,0.5661901121491979,0.9999999999999999,0.31114119039837257,0.4586754863153002,0.6156129705931587,0.5147586083004758,0.5737856413632575,0.569368836903523,0.5884038953637436,0.5444492119295211,0.44397248760288965,0.4711042199861609,0.5265727648930247,0.4191713937198229,0.5383335034931581,0.17397842079523948,0.4920311444280369,0.16616678490185507,0.5143871505378538,0.37353261994449116,0.4409373704127885,0.5565458075507935,0.5995392784017682,0.523366160032532,0.5620196183345606,0.636412895334811,0.44785500241520104,0.4407900761846248,0.6076769482199005,0.5243995459402895,0.5104373953732172,0.43146994240328884,0.48676511261789535,0.472330980776328,0.4791369802689103,0.5180268811030656,0.32538539379506154,0.5477626007746006,0.3553013014927067,0.5389652695940014,0.4827053782270765,0.39625747354270086,0.4882424635755334,0.4084774423506963,0.4097952748356225,0.4158179560088984,0.5773610817549951,0.4565136042284105,0.45629018906075125,0.12020867995487391,0.3628592265193441,0.28796821393898525,0.3541389620188536,0.4832519574578175,0.17136658388311612,0.5537476569115396,0.5006884093881953,0.4725275089736197,0.48380995087879836,0.5585390981085347,0.39350874453054535,0.28657512016764103,0.4824465874201485,0.44794012209135364,0.5417462896014219,0.21180935476229287,0.5483403738153027,0.2841067578905068,0.31854610881905454,0.3066052564171901,0.5106254115550504,0.1605758620592657,0.28934313478615087,0.4141155699181027,0.4063456695635692,0.43450559935161354,0.34369473746930873,0.6246090957921828,0.3717786728784886,0.4461894509397434,0.15269786395993956,0.37681624136391556,0.5310658556483281,0.5607291395307279
LCID,0.4522589601775513,0.42702763992432613,0.31114119039837257,0.9999999999999999,0.15414195616379853,0.3171089475151113,0.2438855359545217,0.20813005701555382,0.26311337773449894,0.3525628502065982,0.33251042152490135,0.16843423363395882,0.2017740439598084,0.28521580187307416,0.20709750294870716,0.36360470798272737,0.21743716790908948,0.26594986907496654,0.09398184570971456,0.30536730174957866,0.11391067131273826,0.15288688189543417,0.41510570023424337,0.3764213647535217,0.2741425166228058,0.3270916305125007,0.3740515770201396,0.04396683842984781,0.39122872735454695,0.3163186756489534,0.25978585018621886,0.2539960455178653,0.3283323693858114,0.4106784267312886,0.33026153391009405,0.25744319057237336,0.4291954721860743,0.29919458364955737,0.34909836731107863,0.08447955394754811,0.31196743237247276,0.20594357649838166,0.24278938739886607,0.35462530151239086,0.05665965592447135,0.1749774452696957,0.08864046799312504,0.3424520173377518,0.34499861774084833,0.35340698651929026,0.09974920053016934,0.12582612487320302,0.09145833501436283,0.07030644505730807,0.43420249283401957,0.11925722183044345,0.2876819097564166,0.27245256256266276,0.25322758819754043,0.30608741289235897,0.4128045943358756,0.34754262280185816,0.20863459289485722,0.20404991905521347,0.2719781399220891,0.2866698868714319,0.1260488338876094,0.307866150283597,0.08359434966743065,0.26569545001189326,0.1777861357389515,0.3624567278163725,0.14182824761592808,0.20687880103763795,0.25200079046810797,0.3496766733186608,0.03583567070815905,0.6903053779350271,0.29422975625237663,0.239166628960369,0.5466716188992263,0.10427799350256178,0.31528948349696784,0.17423089460593838,0.31972385175003704
CMCSA,0.6009197681449651,0.5850757830827784,0.4586754863153002,0.1541419561637985,1.0,0.48244300966296505,0.4109085256162089,0.48479725416436636,0.5991174872353726,0.44866739015790374,0.5306870929057204,0.42194946406643724,0.38224153228879276,0.551504437064445,0.32465374533063923,0.608023748430967,0.2653981175498453,0.5034273798524738,0.19617907800460327,0.6096893823193946,0.34630305724838034,0.40689428023479757,0.5124581524607729,0.5564936735275974,0.4741206299332903,0.48445938849809683,0.526553887353925,0.4075175534515,0.4285132135354667,0.5527406330940118,0.4703053151499605,0.49119593860743593,0.5295187048626382,0.5231252894027386,0.5568593411033784,0.4595106873644148,0.4919039377436557,0.4985888184534168,0.49790023525580884,0.30698293577701496,0.4321910699459826,0.5740386743132797,0.4327778198072937,0.5251075717679325,0.3706249658973274,0.4796754583678483,0.36761682818441155,0.5273088616346181,0.4982840817428375,0.45921779920238315,0.2784940350242932,0.38686755797526057,0.1811233792087347,0.3246424438674311,0.4277975775251567,0.1890145779359781,0.5814743700448994,0.5052371789639788,0.3856992956656986,0.7077999400065617,0.5541468294045719,0.18557631741272146,0.23619256557451784,0.37774074725197104,0.4744549689521724,0.4746644135240797,0.4068444849095272,0.5820863696858226,0.26237480270171953,0.34137628231508893,0.19612352783558903,0.4157281974997729,0.3425453385176785,0.3151906215101841,0.326356219031841,0.3889886493691198,0.34089830188201037,0.307880629176157,0.5424963978790212,0.3114094786523382,0.535252384116881,0.1916434073505898,0.47117585669013934,0.534676940273833,0.5950106840438427
KLAC,0.7814766100653631,0.671275515905953,0.6156129705931587,0.3171089475151113,0.4824430096629651,0.9999999999999999,0.5549450323071461,0.605322092692329,0.6293354406034777,0.8741210123975128,0.6098252202112834,0.522731761312427,0.4827208021454666,0.577294914720572,0.3996318889254799,0.5955455024567335,0.24211505003516914,0.4980141556749436,0.21290063610629495,0.6071173841028463,0.25121027538746393,0.4362719773734127,0.6112997812420848,0.7666676495776655,0.6742322807994905,0.6306795488673486,0.8544110461574166,0.4186390512157,0.41903541272796235,0.8736378838229742,0.6800642971902814,0.5676163389744537,0.48976235504529597,0.5533806010926596,0.5194476172587108,0.4900291388460339,0.7479656981929064,0.39839958759182204,0.7779230372128884,0.24326290696253994,0.661859922243632,0.5790507308480295,0.42787561549111347,0.6939270072471725,0.23095414975706505,0.40831818542643356,0.3400863598872514,0.8087208958672927,0.5292030385672409,0.4325290570463872,0.07335777857146834,0.29850234791094027,0.29610238562328706,0.2910110106543568,0.508835984305809,0.2196163900497079,0.7705725121906007,0.4358795696751087,0.586748786058832,0.45974386437128023,0.8168062695841936,0.4537393962836594,0.43633883378160454,0.4945168663924138,0.5684278957469155,0.5387759523505358,0.41429988943727036,0.5242695572996139,0.147992460016258,0.36775528504171817,0.41345540176838846,0.5115013763269376,0.3477621847896696,0.3995825470577375,0.4505304966745588,0.46458286162231643,0.2769238863050387,0.4927740158818848,0.7354501736148218,0.38807222125822066,0.5084717296743063,0.2564045817264273,0.45062995937454686,0.5068803778555999,0.5941120152834367
PCAR,0.5172749522215158,0.5756438826608402,0.5147586083004758,0.24388553595452173,0.4109085256162089,0.5549450323071461,0.9999999999999998,0.5752772949083905,0.478186019382634,0.44100228765278876,0.39279746805285015,0.4827439705859423,0.5664069289046898,0.3400083802571813,0.37556908104439524,0.5555085973648656,0.21533900201620304,0.4656447868875213,0.23216416296116993,0.4508646548682086,0.31037249158584107,0.44796295108833306,0.4661864161045045,0.4876715877537924,0.4517409707886268,0.3594336309889558,0.5495857665015939,0.43980849208058437,0.3500877567613111,0.4857364640927447,0.3730987533796885,0.4114549294069902,0.43410427877570673,0.3976454963723593,0.33806314750102273,0.35381130986053777,0.4408893399246594,0.30679455515627874,0.4964429871902201,0.3158853641971362,0.42129794427737177,0.42887343258135946,0.5395650084260718,0.4606435126725963,0.27868525495234053,0.36663716977427985,0.3781719666118444,0.5202814016626922,0.379401735816773,0.40492521473454035,0.13678708941376028,0.3516893485432553,0.34249683239739215,0.4095946484082266,0.43380041508805867,0.20554285842154038,0.5443085545192149,0.41413665343102046,0.39443670623045884,0.35432895245636614,0.5512896873808519,0.2945543503434654,0.39579287760093906,0.34006236409204776,0.3012848930158082,0.3751509498480363,0.2703221125627632,0.38042312810798595,0.2829292885579465,0.1760549559777162,0.39369445127890274,0.3851506928010435,0.21027635300690958,0.30255896135957183,0.2845399199346684,0.3208379875739807,0.41968875782264853,0.33782016110032753,0.5023271664703954,0.4039920615678691,0.3134775640319336,0.17598208811268878,0.24055412591438938,0.4576816970872697,0.5239918421162741
CTAS,0.7112580889490915,0.6078591696867301,0.5737856413632575,0.20813005701555382,0.48479725416436636,0.605322092692329,0.5752772949083905,1.0,0.6952406822626518,0.5606760012280149,0.5546054829798842,0.421002434214995,0.5189845681582986,0.5381907518171406,0.5881901557302104,0.6482944112631598,0.22725303804251498,0.6010025591998712,0.2546217110999061,0.5940248605763108,0.34864188760142767,0.4461329053168861,0.5555360507860363,0.6473034509451847,0.5908116087482095,0.6415752818371598,0.641441716243362,0.48987889402820356,0.47556688231814637,0.6431073752852078,0.638266179871155,0.5563323834459382,0.6260946223771716,0.4933193947868811,0.4823741883426804,0.4794523793989935,0.5537794345232888,0.4247563973551652,0.6115157286735087,0.5243119296316825,0.5843069946344503,0.5754338624872238,0.6354737561665297,0.503633998971617,0.5491482561525558,0.5496058507033265,0.5739662878535562,0.5597191423587274,0.5379548790743359,0.38523463297498456,0.19619275089370292,0.5696687315981438,0.3640150827294494,0.4815489583586006,0.49762763974540314,0.2246392921923657,0.6487085885069841,0.6909536543803405,0.5557846037815443,0.4016378012694594,0.6514794713258493,0.4513318035943443,0.29620549929928824,0.4217758123704054,0.49537304580265745,0.5066259352796416,0.22161188762432077,0.5093290386991164,0.3740136755429764,0.3572584255701158,0.36613091334874553,0.45359282915671933,0.2534081933792842,0.39834623089660365,0.36977820903123176,0.46320065571862373,0.5130439260159918,0.3740565692661244,0.6067762205837426,0.5045102876185309,0.39083895211145553,0.3006282128972181,0.3396922290552554,0.6957560912714985,0.6519573007764196
PAYX,0.691694761404552,0.6566349308146924,0.569368836903523,0.26311337773449894,0.5991174872353726,0.6293354406034777,0.478186019382634,0.6952406822626519,1.0,0.5940027822641976,0.5918931155486493,0.4618239096736681,0.473486658882721,0.5516552146764857,0.5797267070510151,0.6880545004297374,0.3296676330735423,0.6117157159553334,0.19023796733066223,0.5929855554668709,0.3061869371076225,0.4433029697681285,0.656877137541678,0.6828112134451798,0.5369414246269077,0.6779714573910451,0.6348147096440124,0.3786517152070545,0.47018657840663614,0.6562869351698242,0.611433953038819,0.5849716976136518,0.617072861158161,0.5813377933963818,0.5148723946086057,0.53299208990189,0.5694557142904925,0.4270214601593333,0.6000521453945187,0.45223479834130814,0.527959385076811,0.6806553159476634,0.5336101935545419,0.5962160075863662,0.43392569411232573,0.5615703744825884,0.4493304539322199,0.5951261017238119,0.5750498400033548,0.4777417555554101,0.15561560287974888,0.4743440163451181,0.3528242776150747,0.4345580275428365,0.480569456784606,0.31061350707214247,0.584163154387569,0.6702164002698203,0.5176662494881781,0.5766981411441616,0.653703471593531,0.45016132486876875,0.2884598241628278,0.4761932647588072,0.5906066768076573,0.5097464989538297,0.24895978470663754,0.5737448566394124,0.3776911445412681,0.3782441406843994,0.32662776315297587,0.4833785521616593,0.21665039660403226,0.28431393922749887,0.3849478621269327,0.40027200926945117,0.47594556926433634,0.4355064305263683,0.6128699774986403,0.3881333523813812,0.5004438922474646,0.2335625378446274,0.45509426838838657,0.7766898316609447,0.6734476869185991
LRCX,0.7691929454202269,0.6201186840273082,0.5884038953637435,0.3525628502065982,0.4486673901579037,0.8741210123975129,0.4410022876527888,0.5606760012280149,0.5940027822641976,1.0,0.6034633866822477,0.41235598839598436,0.37863726575769735,0.6168577305728885,0.3946737171366985,0.5320656993472066,0.24439176733335685,0.4246024815223415,0.13624802743298817,0.5248743851966686,0.1961941058020401,0.398502259415145,0.5876035310601909,0.7342824922798157,0.6714532079893152,0.6066996824967033,0.801710626362824,0.3508313877546299,0.42010442794089803,0.8439913587894162,0.6653165056733619,0.5181200531484004,0.4442454836407375,0.5452706200821303,0.48301335914975674,0.483587366096666,0.7520191645805546,0.3915905843852006,0.7721938788343984,0.23653926624848365,0.6547061693457997,0.527477514869394,0.33717994072079926,0.7043143480372406,0.24315355713805065,0.3515422131178655,0.23713175679767204,0.7990576366559233,0.49161982083707106,0.4573866414323301,0.06739284383776976,0.25854323977243976,0.2555789639336502,0.28640106687790057,0.5018891290004645,0.21133924873103813,0.7380840836597004,0.4324765191459054,0.5484556264749184,0.43956461479547704,0.7986271707226716,0.4401516474312202,0.36514819367648343,0.48198507874606533,0.5512016611794334,0.5576359345468751,0.3714445381433092,0.5239138702855514,0.09353189849361249,0.36568830713681727,0.38343472411211416,0.5297784857536749,0.3381728310349138,0.26816443102138826,0.4384878305161557,0.47342288288247786,0.2295001299245626,0.4952080671154258,0.7252065652991003,0.3519322933314183,0.5257189189755438,0.10764530469612923,0.43241364037412044,0.4694763651245714,0.579736201063722
